Order ID,Date,Fulfilment,Sales Channel ,Item,Amount,ship-state
407-8248783-4261958,04-30-22,Amazon,Amazon.in,kurta,487,CHHATTISGARH
404-6513062-3876305,04-30-22,Merchant,Amazon.in,kurta,376,TAMIL NADU
406-7779874-9136347,04-30-22,Amazon,Amazon.in,Set,1115,UTTARAKHAND
406-9638549-1733961,04-30-22,Amazon,Amazon.in,Set,517,KARNATAKA
407-8801185-0134713,04-30-22,Amazon,Amazon.in,Set,1126,KARNATAKA
171-3625443-6505905,04-30-22,Amazon,Amazon.in,Western Dress,725,KERALA
402-8078642-8565124,04-30-22,Amazon,Amazon.in,kurta,,ODISHA
402-2820441-9623566,04-30-22,Amazon,Amazon.in,Western Dress,721,ODISHA
171-4312987-5366767,04-30-22,Amazon,Amazon.in,Set,666,BIHAR
403-5189998-9343503,04-30-22,Amazon,Amazon.in,Set,496,TELANGANA
407-9863928-5979501,04-30-22,Merchant,Amazon.in,kurta,353,KERALA
171-4644162-9093116,04-30-22,Merchant,Amazon.in,kurta,399,UTTAR PRADESH
406-0974406-3179521,04-30-22,Amazon,Amazon.in,kurta,458,TAMIL NADU
402-0048138-1845122,04-30-22,Amazon,Amazon.in,Set,1115,NAGALAND
407-6283946-7749133,04-30-22,Amazon,Amazon.in,Ethnic Dress,845,KARNATAKA
407-0542879-1795554,04-30-22,Merchant,Amazon.in,kurta,399,HARYANA
406-0218328-1773963,04-30-22,Amazon,Amazon.in,kurta,,TAMIL NADU
407-3742007-3242711,04-30-22,Amazon,Amazon.in,kurta,517,TELANGANA
407-3742007-3242711,04-30-22,Amazon,Amazon.in,kurta,517,TELANGANA
405-3067317-3360344,04-30-22,Amazon,Amazon.in,kurta,599,UTTAR PRADESH
406-5648244-8317954,04-30-22,Amazon,Amazon.in,Top,487,DELHI
171-3460653-0171519,04-30-22,Amazon,Amazon.in,Top,487,HARYANA
404-5337874-2284337,04-30-22,Amazon,Amazon.in,Set,568,KARNATAKA
405-2660443-4165145,04-30-22,Merchant,Amazon.in,kurta,399,KARNATAKA
402-3329522-2367566,04-30-22,Amazon,Amazon.in,kurta,295,MAHARASHTRA
406-3078054-1755513,04-30-22,Amazon,Amazon.in,kurta,484,UTTAR PRADESH
171-4647176-6456305,04-30-22,Amazon,Amazon.in,Set,626,MAHARASHTRA
408-5011528-8276347,04-30-22,Amazon,Amazon.in,Set,563,UTTAR PRADESH
407-4097885-3129958,04-30-22,Merchant,Amazon.in,Top,387,MAHARASHTRA
171-1224053-5752314,04-30-22,Merchant,Amazon.in,Top,463.81,KARNATAKA
406-2849582-6531553,04-30-22,Amazon,Amazon.in,Top,512,UTTAR PRADESH
407-5875767-6399551,04-30-22,Amazon,Amazon.in,Set,1112,TELANGANA
171-6336729-6763536,04-30-22,Amazon,Amazon.in,Set,626,KARNATAKA
404-3907920-5281963,04-30-22,Amazon,Amazon.in,kurta,376,TELANGANA
408-7310428-6047538,04-30-22,Amazon,Amazon.in,Western Dress,859,KARNATAKA
403-2608092-6065935,04-30-22,Amazon,Amazon.in,Set,597,KARNATAKA
404-9760385-9109154,04-30-22,Amazon,Amazon.in,kurta,329,TELANGANA
405-0732969-3941948,04-30-22,Merchant,Amazon.in,Set,583,WEST BENGAL
402-2720308-2560327,04-30-22,Amazon,Amazon.in,Western Dress,665,MAHARASHTRA
402-0589123-6183541,04-30-22,Amazon,Amazon.in,Set,582,MAHARASHTRA
408-3874942-9917143,04-30-22,Amazon,Amazon.in,Set,1126,UTTAR PRADESH
402-1706149-0949104,04-30-22,Amazon,Amazon.in,kurta,534,MAHARASHTRA
407-1672316-3245939,04-30-22,Amazon,Amazon.in,kurta,319,TAMIL NADU
405-1832646-7988329,04-30-22,Amazon,Amazon.in,kurta,368,MAHARASHTRA
408-9692204-9817146,04-30-22,Amazon,Amazon.in,Set,597,MAHARASHTRA
402-9339129-6219537,04-30-22,Amazon,Amazon.in,Set,654,KARNATAKA
405-3036350-8089120,04-30-22,Amazon,Amazon.in,kurta,795,Gujarat
404-6680046-0839536,04-30-22,Merchant,Amazon.in,Western Dress,744,TAMIL NADU
406-2966654-4672325,04-30-22,Amazon,Amazon.in,kurta,692,UTTAR PRADESH
403-4845285-4565113,04-30-22,Amazon,Amazon.in,Top,563,JAMMU & KASHMIR
171-4496851-5319548,04-30-22,Amazon,Amazon.in,Top,545,KARNATAKA
408-3416118-1167564,04-30-22,Amazon,Amazon.in,Set,999,ARUNACHAL PRADESH
